Bericht,Anzahl Tote,Anzahl Verletzte,Gesamter Sachschaden
125_Kayhauserfeld_-_Oldenburg_Hbf,0,0,"972.000 Euro"
189_Niederlahnstein,0,1,"19.200.000 Euro"
007_Schrozberg,6,24,"700.000 Euro"
163_Frankfurt-Höchst_-_Frankfurt_Mainzer_Landstrasse,1,2,k. A.
215_Altheim_Hess_-_Dieburg,1,1,"1.935.000 Euro"
237_Dorsfeld,0,3,"4.900.000 Euro"
002_Brühl,9,149,"50.000.000 DM"
089_Kaub-Lorch_Rhein,0,0,k. A.
226_Meinersen_-_Leiferde_b_Gifhorn,0,1,"4.000.000 Euro"
001_Bad_Münder,0,2,"10.883.000 Euro"
116_Dortmund,0,2,"4.680.000 Euro"
231_Garmisch-Partenkirchen-_-Farchant,5,78,"4.750.000 Euro"
114_Bad_Aibling_-_Kolbermoor,12,90,"20.000.000 Euro"
